epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.26462,2.397,4.14994,1.48502,0.00597,0.83495,0.00892,0.00358,1.41408,3.55726,0.97944,0.00024,0.00024,0.00024
2,3.92724,1.57697,2.29028,1.10917,0.00542,0.75728,0.00796,0.00329,1.25401,3.54562,0.97428,0.000497525,0.000497525,0.000497525
3,5.54684,1.45378,1.76171,1.07985,0.00375,0.52427,0.00964,0.0047,1.29755,3.54393,1.0202,0.000752476,0.000752476,0.000752476
4,7.16845,1.40234,1.60963,1.07063,0.37188,0.04854,0.04934,0.03559,1.24704,3.44326,0.97354,0.00100485,0.00100485,0.00100485
5,8.77491,1.33705,1.39978,1.05911,0.00479,0.6699,0.03934,0.02557,1.29599,3.33127,1.012,0.00125466,0.00125466,0.00125466
6,10.3862,1.36372,1.43985,1.08175,0.70853,0.2233,0.36432,0.19114,1.38073,2.76234,1.04455,0.00150189,0.00150189,0.00150189
7,12.0012,1.31389,1.40574,1.04166,1,0.26965,0.64724,0.3852,1.36109,2.20443,1.05551,0.00174654,0.00174654,0.00174654
8,13.6843,1.32926,1.24663,1.05494,0.97028,0.31707,0.52564,0.31027,1.37458,2.33368,1.05625,0.0019307,0.0019307,0.0019307
9,15.253,1.35602,1.25317,1.04932,0.8901,0.60194,0.69847,0.43741,1.32964,1.29871,1.07434,0.0019208,0.0019208,0.0019208
10,16.8529,1.32041,1.19252,1.0394,0.92658,0.61261,0.70042,0.43553,1.34664,1.54936,1.0512,0.0019109,0.0019109,0.0019109
11,18.4437,1.25404,1.0413,1.01902,0.79257,0.73786,0.804,0.50104,1.27542,1.03415,1.04742,0.001901,0.001901,0.001901
12,20.0588,1.24589,1.02477,1.03495,0.80309,0.67318,0.7914,0.48203,1.25229,1.02472,1.00417,0.0018911,0.0018911,0.0018911
13,21.6269,1.20808,0.97168,1.00376,0.86569,0.68836,0.83261,0.48218,1.24196,0.96353,1.02422,0.0018812,0.0018812,0.0018812
14,23.2174,1.25706,1.00492,1.04509,0.88431,0.74211,0.83509,0.5095,1.23081,0.95767,1.01944,0.0018713,0.0018713,0.0018713
